StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_First Click,Q2_Last Click,Q2_Page Submit,Q2_Click Count,Q4,Q5,Q8,Q6,Q7,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"On a scale of 1 to 6 with 1 being poor and 6 being great, how would you rate the short story ""Tusks, Trunks, and Time Travel""?",In a few words please describe what you think of the story,"According to the story, why do historians travel in time?",How did the historian describe enemy's elephants?,How many elephants did Gaius kill before being killed?,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_FIRST_CLICK""}","{""ImportId"":""QID9_LAST_CLICK""}","{""ImportId"":""QID9_PAGE_SUBMIT""}","{""ImportId"":""QID9_CLICK_COUNT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""mTurkCode""}"
2018-07-16 19:44:02,2018-07-16 19:44:14,0,134.134.139.72,100,12,1,2018-07-16 19:44:14,R_3OcPY5bmxlFJZWo,,,,,45.553405761719,-122.8191986084,anonymous,EN,0,0,2.924,0,,,,,,7276020
2018-07-16 19:46:02,2018-07-16 19:46:22,0,99.101.39.20,100,20,1,2018-07-16 19:46:22,R_2XpKqW9FLuAFJRV,,,,,30.068405151367,-95.372703552246,anonymous,EN,0,0,0.48,0,3,unavailable,1,4,3,3196868
2018-07-16 19:46:13,2018-07-16 19:46:32,0,157.50.195.113,100,19,1,2018-07-16 19:46:33,R_2v8QYOI6IEA6n1K,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,4.977,0,2,YES,2,2,1,4219779
2018-07-16 19:45:48,2018-07-16 19:46:46,0,157.51.67.138,100,58,1,2018-07-16 19:46:47,R_3ilgQyx3B6Toyki,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,5.294,0,4,"We talked to six hiring experts to find out which questions trip up most job candidates, and the better answers that could win you the job",2,1,2,3079627
2018-07-16 19:46:02,2018-07-16 19:46:49,0,157.51.109.59,100,47,1,2018-07-16 19:46:50,R_2rl9lhaCNcqHwR6,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,5.727,0,3,GOOD,1,3,2,4302642
2018-07-16 19:46:06,2018-07-16 19:46:54,0,157.51.123.47,100,48,1,2018-07-16 19:46:55,R_2Wvt1ibw9dGN6Iu,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,4.977,0,3,GOOD,1,1,2,7098343
2018-07-16 19:45:45,2018-07-16 19:47:37,0,198.255.238.31,100,111,1,2018-07-16 19:47:37,R_2yeEt77rfkOGezG,,,,,43.694793701172,-70.290496826172,anonymous,EN,0,0,82.096,0,3,I hate old-timey medieval stuff like this,1,3,1,1025852
2018-07-16 19:46:05,2018-07-16 19:47:48,0,172.114.53.130,100,103,1,2018-07-16 19:47:48,R_6qXZLwZf2qcSt4B,,,,,33.913604736328,-118.23889923096,anonymous,EN,2.573,62.691,65.257,16,6,That was both bizarre and amazing.,1,1,3,6879701
2018-07-16 19:46:33,2018-07-16 19:48:12,0,157.51.253.223,100,99,1,2018-07-16 19:48:13,R_3PLUqSB568lWflm,,,,,10.992492675781,76.961395263672,anonymous,EN,0,0,11.866,0,4,"Going on a job interview can make you feel like you’re back in school taking an exam. Instead of the “test” having one clear and right answer, however, responding to questions feels like hopeful guesses mixed with uncomfortable posturing.",2,3,3,6081319
2018-07-16 19:46:52,2018-07-16 19:48:22,0,117.221.138.13,100,90,1,2018-07-16 19:48:22,R_1rOmx95gvGYaX5g,,,,,11.350006103516,77.733306884766,anonymous,EN,0,0,35.783,0,3,nice story,2,3,2,8191086
2018-07-16 19:46:19,2018-07-16 19:48:32,0,117.196.250.175,100,132,1,2018-07-16 19:48:32,R_2SjJdjMC1CjYbQq,,,,,11.36669921875,76.799987792969,anonymous,EN,11.998,11.998,13.824,1,2,very nice story,2,3,1,8154798
2018-07-16 19:47:04,2018-07-16 19:48:42,0,122.174.113.34,100,98,1,2018-07-16 19:48:42,R_27lH7Mq0JhYck9s,,,,,9.6844024658203,76.335601806641,anonymous,EN,0,0,5.35,0,4,"Because,time travel",2,2,4,4584405
2018-07-16 19:45:38,2018-07-16 19:49:19,0,67.247.208.253,100,221,1,2018-07-16 19:49:19,R_3lE99hxUHjRCHaU,,,,,42.835601806641,-78.748397827148,anonymous,EN,0,0,166.727,0,1,Did not have a point. Was comical,2,3,3,5056781
2018-07-16 19:47:20,2018-07-16 19:49:23,0,23.254.142.180,100,123,1,2018-07-16 19:49:24,R_3qyUUklgeaWajRS,,,,,47.489105224609,-122.29080200195,anonymous,EN,0,0,17.565,0,6,good,2,3,3,2435101
2018-07-16 19:46:06,2018-07-16 19:49:24,0,157.51.163.11,100,198,1,2018-07-16 19:49:25,R_1IRiS3KUAIhoG2l,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,81.848,0,5,the story was good.,3,2,2,9755228
2018-07-16 19:46:03,2018-07-16 19:50:04,0,99.12.149.131,100,240,1,2018-07-16 19:50:05,R_tSW87MtdmFhu1P3,,,,,33.882095336914,-84.706199645996,anonymous,EN,61.693,170.883,172.072,13,4,"Very futuristic and imaginative ",2,3,3,9547267
2018-07-16 19:46:06,2018-07-16 19:50:07,0,104.54.216.156,100,241,1,2018-07-16 19:50:07,R_24bKPQuuxBBYgvT,,,,,30.441604614258,-97.598602294922,anonymous,EN,7.955,7.955,14.532,1,3,it is a okay story to read for one time.,2,3,3,2248817
2018-07-16 19:46:04,2018-07-16 19:50:09,0,97.104.152.158,100,244,1,2018-07-16 19:50:09,R_1FrcLnPkvR9glPj,,,,,28.166900634766,-81.269996643066,anonymous,EN,0,0,155.672,0,3,It was slightly engaging but overall I didn't find that it was very captivating. The story progressed well and made sense but I didn't find that I cared much about the characters.,1,3,3,6391976
2018-07-16 19:46:22,2018-07-16 19:50:32,0,157.50.108.168,100,249,1,2018-07-16 19:50:32,R_WqZ3V87Cp3rwJpf,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,13.962,0,3,nice,1,4,2,2558414
2018-07-16 19:47:31,2018-07-16 19:50:46,0,157.51.70.248,100,194,1,2018-07-16 19:50:46,R_2EtUUjlR4FjSCvo,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,8.855,0,4,TIME TRAVEL IS A LIKE THAT,3,3,1,2110356
2018-07-16 19:47:30,2018-07-16 19:51:04,0,157.50.218.66,100,214,1,2018-07-16 19:51:05,R_294zoLPCCJQYkjG,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,8.381,0,5,i like that story,2,3,1,1867157
2018-07-16 19:46:20,2018-07-16 19:51:08,0,120.29.117.164,100,287,1,2018-07-16 19:51:08,R_2VxsJG84QU9raaN,,,,,14.583206176758,121.04089355469,anonymous,EN,0,0,146.539,0,4,"I thought it was entertaining, creative to be sure, but it lacked a certain flair that would make it a memorable story in my mind",1,3,3,5983586
2018-07-16 19:50:27,2018-07-16 19:51:17,0,157.51.111.130,100,49,1,2018-07-16 19:51:18,R_2BaI1IqKp0BtIEH,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,4.471,0,4,i think its so hard and so pretty,1,2,3,2241640
2018-07-16 19:46:39,2018-07-16 19:51:21,0,157.51.225.95,100,281,1,2018-07-16 19:51:21,R_3infYeCiuQr8Fs4,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,8.299,0,6,VERY GOOD AND THE GOOD WORKING,2,3,2,1733932
2018-07-16 19:46:39,2018-07-16 19:51:30,0,69.76.44.10,100,291,1,2018-07-16 19:51:30,R_uqDnQC89ySSdCr7,,,,,37.766204833984,-87.259101867676,anonymous,EN,0,0,210.962,0,3,Liked the story except for the historian . Very odd,1,3,3,6842386
2018-07-16 19:46:38,2018-07-16 19:52:07,0,120.29.117.164,100,329,1,2018-07-16 19:52:07,R_BPvl812k9lh1MoF,,,,,14.583206176758,121.04089355469,anonymous,EN,197.131,288.817,289.456,30,3,"I thought it was a little convoluted. Would have loved to have more clarification as to how the time travel worked, paint a more vivid mental image",1,3,3,5402440
2018-07-16 19:47:46,2018-07-16 19:52:20,0,98.19.137.71,100,273,1,2018-07-16 19:52:20,R_yNOsSuBIgXmzEZj,,,,,41.038696289062,-92.357902526855,anonymous,EN,0,0,189.507,0,4,"I thought that it was an interesting tale of time travel and history. ",2,3,3,6400981
2018-07-16 19:46:57,2018-07-16 19:52:24,0,74.89.195.240,100,326,1,2018-07-16 19:52:24,R_2QrCWLFyx4mLxCJ,,,,,41.003601074219,-72.545799255371,anonymous,EN,11.969,200.565,204.254,40,5,"Interesting to go back in time to see and experience a story from a first hand view if only all historians could do this.   ",2,1,3,3259165
2018-07-16 19:48:47,2018-07-16 19:52:40,0,103.85.205.78,100,232,1,2018-07-16 19:52:40,R_3fp0W6c7EgYB5br,,,,,9.9833068847656,76.283294677734,anonymous,EN,0,0,196.474,0,4,i like man and the tusk trunk,3,4,1,3548218
2018-07-16 19:52:00,2018-07-16 19:52:50,0,157.51.225.95,100,49,1,2018-07-16 19:52:50,R_1fZru7OROlFqF8A,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,21.976,0,6,VERY GOOD,2,3,3,6718983
2018-07-16 19:46:22,2018-07-16 19:53:11,0,117.206.5.215,100,408,1,2018-07-16 19:53:11,R_3fkJWM0aFTsJTkG,,,,,11.747802734375,75.488296508789,anonymous,EN,0,0,75.562,0,4,this story is relayed with war and the kingdom.,1,3,3,1692521
2018-07-16 19:46:04,2018-07-16 19:53:23,0,71.145.197.1,100,439,1,2018-07-16 19:53:23,R_uxHYV0u7xGxAfjr,,,,,36.819396972656,-119.75859832764,anonymous,EN,73.169,324.401,325.971,6,6,I think it was interesting. I like sci-fi stories.,1,1,3,9220018
2018-07-16 19:46:44,2018-07-16 19:54:05,0,157.51.208.155,100,441,1,2018-07-16 19:54:05,R_9WVbdOmswBV6VvX,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,396.93,0,6,VERY GOOD WORKKING,2,3,3,8922393
2018-07-16 19:47:31,2018-07-16 19:54:56,0,174.17.238.68,100,445,1,2018-07-16 19:54:56,R_2rTmfYCjnapOB9m,,,,,33.462707519531,-111.98560333252,anonymous,EN,0,0,354.832,0,6,"very interesting, kind of makes you think of time travel and also that fear diminishes once you face your fate",2,3,3,7302791
2018-07-16 19:54:42,2018-07-16 19:55:05,0,157.51.208.155,100,23,1,2018-07-16 19:55:06,R_2WG4h10cDBcOD5p,,,,,13.083297729492,80.283294677734,anonymous,EN,4.854,4.854,4.857,1,6,,2,3,4,733475
2018-07-16 19:52:14,2018-07-16 19:55:29,0,157.51.213.196,100,195,1,2018-07-16 19:55:30,R_1DMRwLXB0Ah8AIX,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,8.211,0,4,no,1,1,1,1367838
2018-07-16 19:45:58,2018-07-16 19:55:57,0,68.106.54.20,100,598,1,2018-07-16 19:55:57,R_2xVsnaXzbSXJu6Q,,,,,33.573394775391,-112.25700378418,anonymous,EN,54.924,82.605,488.471,3,6,"I thought the story was quite interesting! I loved how he was a time traveler just observing what he already knew what was gonna happen. ",2,3,3,7209607
2018-07-16 19:46:32,2018-07-16 19:57:12,0,96.61.172.60,100,639,1,2018-07-16 19:57:12,R_1mn4KQyZkMapfaq,,,,,36.037094116211,-86.637199401855,anonymous,EN,0,0,539.182,0,2,I didn't feel any suspense. I completely believed Gaius would die after the historian told him. Would have been nice to see a twist. It was also a bit cheesy.,2,2,3,6816224
2018-07-16 19:57:46,2018-07-16 19:58:02,0,73.140.17.54,100,16,1,2018-07-16 19:58:02,R_b7RwVTH5IqHZ1uh,,,,,47.898498535156,-122.25889587402,anonymous,EN,0,0,3.45,0,3,,1,3,3,3699555
2018-07-16 19:46:39,2018-07-16 19:59:16,0,103.77.124.130,100,757,1,2018-07-16 19:59:16,R_3MMA4h5Qmb42m9r,,,,,23.600006103516,72.399993896484,anonymous,EN,0,0,609.743,0,4,good   story,3,1,4,9215876
2018-07-16 20:01:10,2018-07-16 20:01:22,0,159.65.108.144,100,12,1,2018-07-16 20:01:22,R_2tb9lxV2GBN4rTN,,,,,37.35009765625,-121.98539733887,anonymous,EN,0,0,2.312,0,3,,2,4,4,8479808
2018-07-16 20:02:57,2018-07-16 20:03:16,0,104.236.89.72,100,18,1,2018-07-16 20:03:17,R_ebKZM76qOdlzOal,,,,,40.832595825195,-74.130699157715,anonymous,EN,0,0,7.267,0,4,,1,2,4,4589336
2018-07-16 19:56:32,2018-07-16 20:03:19,0,97.120.229.37,100,406,1,2018-07-16 20:03:20,R_bmBbhY8ddoESZwt,,,,,45.574203491211,-122.59930419922,anonymous,EN,58.646,348.756,349.861,34,5,It was interesting and held my attention with the novelty of it.,2,3,3,573373
2018-07-16 20:00:36,2018-07-16 20:04:33,0,157.50.112.243,100,236,1,2018-07-16 20:04:34,R_2q7VSujoKeZSvcV,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,12.209,0,3,"
Tusks, Trunks, and Time Travel the man muttered, ""You'll be dead soon enough, anyway."" He cleared his throat, and when he spoke again the words came out slowly, as though meant for a simpleton",2,3,3,7184639
2018-07-16 20:03:37,2018-07-16 20:05:54,0,173.116.128.54,100,137,1,2018-07-16 20:05:55,R_1I9FAYiACMenR35,,,,,33.921600341797,-118.24530029297,anonymous,EN,0,0,95.606,0,2,"It was very boring, and I could not connect with the characters or enjoy the plot.",3,3,1,9594985
2018-07-16 20:04:53,2018-07-16 20:05:57,0,117.221.135.217,100,64,1,2018-07-16 20:05:58,R_3KB0p7theIOUGzo,,,,,11.466705322266,77.450012207031,anonymous,EN,8.255,8.255,8.954,1,5,"VERY NICE STORY ",2,3,3,3770008
2018-07-16 20:05:51,2018-07-16 20:06:15,0,73.140.17.54,100,24,1,2018-07-16 20:06:15,R_29n3RcyjUeRnpaY,,,,,47.898498535156,-122.25889587402,anonymous,EN,3.69,3.69,7.898,1,3,,3,2,3,5982635
2018-07-16 20:05:52,2018-07-16 20:06:34,0,45.77.212.253,100,42,1,2018-07-16 20:06:35,R_SJoHrbNJP9DpDVL,,,,,47.614501953125,-122.34799957275,anonymous,EN,0,0,1.786,0,2,,3,1,1,5426696
2018-07-16 20:07:13,2018-07-16 20:07:33,0,45.32.219.147,100,20,1,2018-07-16 20:07:34,R_3k4zmdPF4N4cmf1,,,,,33.748001098633,-84.385803222656,anonymous,EN,0,0,2.055,0,3,,2,2,4,7881726
2018-07-16 20:07:02,2018-07-16 20:07:51,0,157.51.91.217,100,48,1,2018-07-16 20:07:51,R_2aYbLTd1G1P9nGk,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,4.38,0,6,"very nice story ,",3,3,3,8086345
2018-07-16 19:54:50,2018-07-16 20:13:12,0,122.178.18.235,100,1101,1,2018-07-16 20:13:12,R_2XhT0adQWyym3CW,,,,,9.9333038330078,78.11669921875,anonymous,EN,0,0,56.907,0,5,nice story which is very usefull,2,4,3,7052093
2018-07-16 20:28:53,2018-07-16 20:29:17,0,157.50.70.94,100,23,1,2018-07-16 20:29:18,R_3hxyNxJ77gH8YIR,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,5.95,0,2,250,1,1,2,2715566
2018-07-16 20:17:15,2018-07-16 20:31:11,0,104.144.172.159,100,836,1,2018-07-16 20:31:11,R_W8ci9TakYFuikRb,,,,,37.748397827148,-122.4156036377,anonymous,EN,6.272,20.548,26.162,2,4,"Gaius was not a senator, nor were the men around him. They were not knights, and theirs was not the noble blood of the patricians",3,3,1,711376
2018-07-16 20:43:40,2018-07-16 20:44:03,0,117.221.131.154,100,23,1,2018-07-16 20:44:04,R_2z5wOKH4o1VWFO4,,,,,11.350006103516,77.733306884766,anonymous,EN,0,0,2.953,0,3,nice,2,3,3,4207763
2018-07-16 21:05:38,2018-07-16 21:08:55,0,157.51.196.127,100,196,1,2018-07-16 21:08:55,R_3pbfLQJmCwx1zzV,,,,,13.083297729492,80.283294677734,anonymous,EN,0,0,133.331,0,2,only one way,2,3,1,5440684
2018-07-17 04:44:27,2018-07-17 04:45:01,0,52.95.75.24,100,33,1,2018-07-17 04:45:01,R_3KpiaO8kmSTOhQX,,,,,18.975006103516,72.825805664062,anonymous,EN,0,0,9.498,0,6,EFEGFGFSGSGSGGSGGGGERGREG,2,1,1,7729918
